Nominal mass	Compositions	Charges
73	H3CN3O,H3CxN3Ox	-1
73	H11C4N,H11C3CxN,H11C2Cx2N,H11CCx3N	1
74	H2CN2O2,H2CN2OOx	-1
74	H6C2N2O,H6CCxN2O	1
75	H5C2NS,H5CCxNS,H5C2NSx	1
75	H5C2NO2,H5CCxNO2,H5C2NOOx	1
75	H9C3NO,H9C2CxNO,H9CCx2NO	1
76	H4CN2S,H4CN2Sx	-1
76	H4C2O3,H4CCxO3,H4C2O2Ox	-1
76	H4C6,H4C5Cx	1
78	ONaK,ONaKx	1
78	H2CO2S,H2CxO2S,H2CO2Sx,H2COOxS	-1
78	H3O3Al	1
78	H6C2OS,H6CCxOS,H6C2OSx	1
78	H2C4N2,H2C3CxN2	1
78	H4C5N,H4C4CxN,H4C2Cx3N	1
78	H6C6,H6C5Cx,H6C4Cx2,H6C3Cx3	1
79	H5C5N,H5C4CxN,H5C3Cx2N,H5C2Cx3N	1
79	H8CN2P	1
80	HBr	-1
80	HO3P,HO2OxP,HOOx2P	-1
80	H2NO2S,H2NO2Sx,H2NOOxS	-1
80	C4O2,C2Cx2O2	-1
80	H4CO4,H4CO3Ox	-1
80	H4C5O,H4C4CxO,H4C3Cx2O,H4C2Cx3O	1
80	H4C4N2,H4C3CxN2,H4C2Cx2N2,H4CCx3N2	1
80	H8C6,H8C5Cx,H8C4Cx2,H8C3Cx3	1
81	HO3S,HO3Sx,HO2OxS	-1
81	H3NO4	-1,1
81	H4C2NONa,H4CCxNONa	-1,1
81	H5C4N2,H5C3CxN2,H5C2Cx2N2,H5CCx3N2	1
81	H7C5N,H7C4CxN,H7C3Cx2N,H7C2Cx3N	-1,1
82	CCl2,CClClx	1
82	H2O3S,H2O3Sy,H2O3Sx,H2O2OxS	-1,1
82	H3O3P,H3O2OxP	-1,1
82	H6C5O,H6C4CxO,H6C3Cx2O,H6C2Cx3O	-1,1
82	H6C4N2,H6C4NNx,H6C3CxN2,H6C2Cx2N2,H6CCx3N2	-1,1
82	H10C6,H10C5Cx,H10C4Cx2,H10C3Cx3	1
83	H5C4NO,H5C3CxNO,H5C2Cx2NO,H5CCx3NO,H5Cx4NO	-1,1
83	H5C3N3,H5C2CxN3,H5CCx2N3	-1,1
83	H9C5N,H9C4CxN,H9C3Cx2N,H9C2Cx3N	1
84	HCO2K,HCOOxK	-1
84	HO3Cl,HO3Clx,HO2OxCl	-1
84	HCO3Na	-1
84	H4C4S,H4C3CxS,H4C4Sx,H4C2Cx2S,H4CCx3S	1
84	H4C4O2,H4C3CxO2,H4C4OOx,H4C2Cx2O2,H4CCx3O2	-1,1
84	H4C3N2O,H4C2CxN2O,H4CCx2N2O	-1,1
84	H4C2N4,H4CCxN4	1
84	H8C5O,H8C4CxO,H8C2Cx3O	-1,1
84	H8C4N2,H8C3CxN2,H8CCx3N2	1
84	H12C6,H12C5Cx,H12C3Cx3	1
85	H3C3NS,H3C2CxNS,H3C3NSx,H3CCx2NS	1
85	H3C3NO2,H3C2CxNO2,H3C3NOOx,H3CCx2NO2	-1
85	H3C2N3O,H3CCxN3O	-1
85	H7C4NO,H7C3CxNO,H7C2Cx2NO,H7CCx3NO	-1,1
85	H11C5N,H11C4CxN,H11C3Cx2N,H11C2Cx3N	1
86	HCOF3	-1
86	H2C2N2O2,H2CCxN2O2,H2C2N2OOx	-1
86	H6C4S,H6C3CxS,H6C4Sx,H6C2Cx2S,H6CCx3S	-1,1
86	H6C4O2,H6C3CxO2,H6C4OOx,H6C2Cx2O2,H6CCx3O2	-1,1
86	H6C3N2O,H6C2CxN2O,H6CCx2N2O	-1,1
86	H10C5O,H10C4CxO,H10C3Cx2O,H10C2Cx3O	-1,1
86	H10C4N2,H10C3CxN2	1
87	H5C3NS,H5C2CxNS,H5C3NSx,H5CCx2NS	1
87	H5C3NO2,H5C2CxNO2,H5C3NOOx,H5CCx2NO2	-1,1
87	H5C2N3O,H5CCxN3O	1
87	H9C4NO,H9C3CxNO,H9C2Cx2NO,H9CCx3NO	-1,1
87	H9C3N3,H9C2CxN3,H9CCx2N3	1
87	H13C5N,H13C4CxN,H13C3Cx2N,H13C2Cx3N	1
88	H5C2MgCl,H5CCxMgCl,H5C2MgClx	1
88	H4C3O3,H4C2CxO3,H4C3O2Ox,H4CCx2O3,H4Cx3O3	-1,1
88	H4C2N2O2,H4CCxN2O2,H4C2N2OOx	-1,1
88	H8C4S,H8C3CxS,H8C4Sx,H8C2Cx2S,H8CCx3S	-1,1
